instruction,intent,reference,few_shot_prompt,few_shot_response,latency_s
"I want to activate a Master Card online, how do I do it?",activate_card,"I'm here to assist you with activating your Master Card online. It's a simple process. Here's what you need to do:

1. Visit the official website of your Master Card issuer.
2. Look for the ""Activate Card"" or ""Card Activation"" option. It's usually located under the ""Account"" or ""Manage Cards"" section.
3. Click on the option and enter the required information, which may include your card number, expiration date, CVV, and personal details.
4. Follow the on-screen instructions to verify your identity and complete the activation process.

If you encounter any difficulties or have additional questions during the process, feel free to let me know. I'm here to help!","You are a helpful and professional customer service assistant for a retail bank in India. Answer customer queries accurately, clearly, and politely. Do not invent specific numbers such as interest rates or account balances. If unsure, direct the customer to their branch or banking app.


Example 1:
Customer query: My debit card has been blocked. What should I do?
Response: I'm sorry to hear your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch with a valid photo ID to unblock it. You can also temporarily unblock it through your banking app under Card Management.

Example 2:
Customer query: Can I get information about my current EMI schedule for my personal loan?
Response: Of course. Your EMI schedule can be viewed in the Loans section of your banking app or internet banking portal. It shows the due dates, instalment amounts, and outstanding balance. If you need a detailed statement, you can request one through the app or by visiting your branch.

Now answer the following customer query in a similar professional, helpful, and accurate manner:
Customer query: I want to activate a Master Card online, how do I do it?
Response:","If you want to activate a Master Card online, you'll need to log in with your Master Card number and password.",1.11
wanna activate a card how can i do it,activate_card,"I'd be more than happy to assist you with activating your card. Activating your card is a simple process. Here's what you need to do:

1. Download the mobile app from the App Store or Google Play Store, depending on your device.
2. Open the app and log in using your {{Username}} and {{Password}}.
3. Navigate to the ""Cards"" section of the app.
4. Select the card you want to activate. If it's your first time using the app, you may need to link your card by entering the necessary details.
5. Follow the on-screen prompts to verify your identity and activate your card.

If you encounter any issues during the activation process, don't hesitate to reach out to our customer support team at {{Customer Support Phone Number}}. They'll be more than happy to assist you further.

Let me know if there's anything else I can help you with!","You are a helpful and professional customer service assistant for a retail bank in India. Answer customer queries accurately, clearly, and politely. Do not invent specific numbers such as interest rates or account balances. If unsure, direct the customer to their branch or banking app.


Example 1:
Customer query: My debit card has been blocked. What should I do?
Response: I'm sorry to hear your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch with a valid photo ID to unblock it. You can also temporarily unblock it through your banking app under Card Management.

Example 2:
Customer query: Can I get information about my current EMI schedule for my personal loan?
Response: Of course. Your EMI schedule can be viewed in the Loans section of your banking app or internet banking portal. It shows the due dates, instalment amounts, and outstanding balance. If you need a detailed statement, you can request one through the app or by visiting your branch.

Now answer the following customer query in a similar professional, helpful, and accurate manner:
Customer query: wanna activate a card how can i do it
Response:",You can activate a debit card by calling the number on the back of the card.,0.94
i got to activate a credit card online can uhelp me,activate_card,"I'd be glad to assist you with activating your credit card online. Here's what you need to do:

1. Visit our website and go to the ""Account"" or ""Login"" section.
2. Sign in to your account using your username and password. If you don't have an account yet, you'll need to create one by clicking on the ""Sign Up"" or ""Register"" option.
3. Once logged in, navigate to the ""Credit Cards"" or ""Manage Cards"" section.
4. Look for an option that says ""Activate Card"" or something similar.
5. Enter the necessary information, such as your credit card number, expiration date, and security code.
6. Follow any additional prompts or instructions provided on the screen.
7. After successfully completing the activation process, you should receive a confirmation message or notification.

If you encounter any issues or have further questions, feel free to let me know. I'm here to help you make the activation process as smooth as possible!","You are a helpful and professional customer service assistant for a retail bank in India. Answer customer queries accurately, clearly, and politely. Do not invent specific numbers such as interest rates or account balances. If unsure, direct the customer to their branch or banking app.


Example 1:
Customer query: My debit card has been blocked. What should I do?
Response: I'm sorry to hear your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch with a valid photo ID to unblock it. You can also temporarily unblock it through your banking app under Card Management.

Example 2:
Customer query: Can I get information about my current EMI schedule for my personal loan?
Response: Of course. Your EMI schedule can be viewed in the Loans section of your banking app or internet banking portal. It shows the due dates, instalment amounts, and outstanding balance. If you need a detailed statement, you can request one through the app or by visiting your branch.

Now answer the following customer query in a similar professional, helpful, and accurate manner:
Customer query: i got to activate a credit card online can uhelp me
Response:",Can you tell me how can i activate a credit card online,0.69
i got to activate a master card on mobile wheere do i do it,activate_card,"I'm here to assist you with activating your {{Credit Card}} on your mobile device. To activate your {{Credit Card}}, you can follow these simple steps:

1. Open the mobile banking app on your device.
2. Log in to your account using your username and password.
3. Navigate to the ""Cards"" or ""Account"" section of the app.
4. Look for the option to activate a new card or manage your existing cards.
5. Select the {{Credit Card}} you want to activate.
6. Follow the on-screen prompts to complete the activation process.
7. Once activated, you'll be able to use your {{Credit Card}} for purchases and transactions.

If you encounter any difficulties during the activation process, please don't hesitate to reach out to our customer support team. They are available {{Customer Support Working Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Company Website URL}}. They will be more than happy to assist you further.","You are a helpful and professional customer service assistant for a retail bank in India. Answer customer queries accurately, clearly, and politely. Do not invent specific numbers such as interest rates or account balances. If unsure, direct the customer to their branch or banking app.


Example 1:
Customer query: My debit card has been blocked. What should I do?
Response: I'm sorry to hear your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch with a valid photo ID to unblock it. You can also temporarily unblock it through your banking app under Card Management.

Example 2:
Customer query: Can I get information about my current EMI schedule for my personal loan?
Response: Of course. Your EMI schedule can be viewed in the Loans section of your banking app or internet banking portal. It shows the due dates, instalment amounts, and outstanding balance. If you need a detailed statement, you can request one through the app or by visiting your branch.

Now answer the following customer query in a similar professional, helpful, and accurate manner:
Customer query: i got to activate a master card on mobile wheere do i do it
Response:",You'll need to visit your bank's branch to activate a master card.,0.86
"I want to activate a credit card online, how to do it?",activate_card,"Definitely! I'm here to help you activate your credit card online. Activating your credit card online is a quick and convenient process. Here's what you need to do:

1. Visit our website at {{Company Website URL}}.
2. Log in to your account using your username and password. If you don't have an account yet, you can easily create one by clicking on the ""Sign Up"" or ""Register"" button.
3. Once you're logged in, locate the ""Manage Account"" or ""My Account"" section.
4. Look for the option to activate your credit card. It might be labeled as ""Activate Card,"" ""Card Activation,"" or something similar.
5. Click on the activation link and follow the on-screen instructions.
6. You may need to provide some information, such as your credit card number, expiration date, and security code. Make sure to have your credit card handy.
7. Verify the details you entered and submit the form.
8. Congratulations! Your credit card is now activated and ready to use.

If you encounter any difficulties during the activation process, please don't hesitate to reach out to our customer support team at {{Customer Support Phone Number}} or through the Live Chat on our website. We're available {{Customer Support Working Hours}} to assist you.","You are a helpful and professional customer service assistant for a retail bank in India. Answer customer queries accurately, clearly, and politely. Do not invent specific numbers such as interest rates or account balances. If unsure, direct the customer to their branch or banking app.


Example 1:
Customer query: My debit card has been blocked. What should I do?
Response: I'm sorry to hear your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch with a valid photo ID to unblock it. You can also temporarily unblock it through your banking app under Card Management.

Example 2:
Customer query: Can I get information about my current EMI schedule for my personal loan?
Response: Of course. Your EMI schedule can be viewed in the Loans section of your banking app or internet banking portal. It shows the due dates, instalment amounts, and outstanding balance. If you need a detailed statement, you can request one through the app or by visiting your branch.

Now answer the following customer query in a similar professional, helpful, and accurate manner:
Customer query: I want to activate a credit card online, how to do it?
Response:",You can activate a credit card online by entering your card number and password. You'll be redirected to your bank's website to activate the card.,1.39
I'm travelling abroad i wanna activate a card for international usage,activate_card_international_usage,"I'm here to assist you with activating your card for international usage so that you can conveniently use it while traveling abroad. Here's what you need to do:

1. Contact our customer support team at {{Customer Support Phone Number}} or visit our website at {{Company Website URL}}.
2. Inform them that you would like to activate your card for international usage.
3. Provide the necessary information, such as your card details and travel dates, to complete the activation process.
4. Our customer support team will guide you through the necessary steps and ensure that your card is activated for international transactions.

If you have any additional questions or need further assistance, feel free to let me know. Have a safe and enjoyable trip!","You are a helpful and professional customer service assistant for a retail bank in India. Answer customer queries accurately, clearly, and politely. Do not invent specific numbers such as interest rates or account balances. If unsure, direct the customer to their branch or banking app.


Example 1:
Customer query: My debit card has been blocked. What should I do?
Response: I'm sorry to hear your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch with a valid photo ID to unblock it. You can also temporarily unblock it through your banking app under Card Management.

Example 2:
Customer query: Can I get information about my current EMI schedule for my personal loan?
Response: Of course. Your EMI schedule can be viewed in the Loans section of your banking app or internet banking portal. It shows the due dates, instalment amounts, and outstanding balance. If you need a detailed statement, you can request one through the app or by visiting your branch.

Now answer the following customer query in a similar professional, helpful, and accurate manner:
Customer query: I'm travelling abroad i wanna activate a card for international usage
Response:",I'm sorry I can't help you right now. You'll have to contact your bank directly. You can do so by calling the number on the back of the card.,1.77
"I'm traveling overseas, can I activate  a Master Card for international usage?",activate_card_international_usage,"I can assist you with activating your Master Card for international usage. Ensuring that your card is ready for use abroad is essential for a seamless experience during your travels. Here's how you can activate your Master Card for international usage:

1. Contact our Customer Support team at {{Customer Support Phone Number}} or visit our website at {{Company Website URL}}.
2. Inform them that you will be traveling overseas and need to activate your Master Card for international usage.
3. Provide any necessary information, such as your card details or account information, to verify your identity.
4. The Customer Support team will guide you through the process and ensure that your card is activated for international transactions.
5. Once the activation is complete, you'll be able to conveniently use your Master Card while traveling abroad.

If you have any other questions or need further assistance, feel free to let me know. Have a fantastic trip!","You are a helpful and professional customer service assistant for a retail bank in India. Answer customer queries accurately, clearly, and politely. Do not invent specific numbers such as interest rates or account balances. If unsure, direct the customer to their branch or banking app.


Example 1:
Customer query: My debit card has been blocked. What should I do?
Response: I'm sorry to hear your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch with a valid photo ID to unblock it. You can also temporarily unblock it through your banking app under Card Management.

Example 2:
Customer query: Can I get information about my current EMI schedule for my personal loan?
Response: Of course. Your EMI schedule can be viewed in the Loans section of your banking app or internet banking portal. It shows the due dates, instalment amounts, and outstanding balance. If you need a detailed statement, you can request one through the app or by visiting your branch.

Now answer the following customer query in a similar professional, helpful, and accurate manner:
Customer query: I'm traveling overseas, can I activate  a Master Card for international usage?
Response:",I'm sorry I can't help you right now. You'll have to contact your bank directly.,1.7
"I got to activate a Master Card for international usage, how could I do it?",activate_card_international_usage,"I'm here to assist you with activating your MasterCard for international usage. Activating your card is a simple process. Here's what you need to do:

1. Contact our customer support team at {{Customer Support Phone Number}} or visit our website at {{Company Website URL}}.
2. Provide them with your card details such as the card number and any other required information.
3. Inform them that you would like to activate your MasterCard for international usage.
4. They will guide you through the necessary steps and ensure that your card is activated for international transactions.

If you have any additional questions or need further assistance, please feel free to let me know. Safe travels!","You are a helpful and professional customer service assistant for a retail bank in India. Answer customer queries accurately, clearly, and politely. Do not invent specific numbers such as interest rates or account balances. If unsure, direct the customer to their branch or banking app.


Example 1:
Customer query: My debit card has been blocked. What should I do?
Response: I'm sorry to hear your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch with a valid photo ID to unblock it. You can also temporarily unblock it through your banking app under Card Management.

Example 2:
Customer query: Can I get information about my current EMI schedule for my personal loan?
Response: Of course. Your EMI schedule can be viewed in the Loans section of your banking app or internet banking portal. It shows the due dates, instalment amounts, and outstanding balance. If you need a detailed statement, you can request one through the app or by visiting your branch.

Now answer the following customer query in a similar professional, helpful, and accurate manner:
Customer query: I got to activate a Master Card for international usage, how could I do it?
Response:",You can activate a Master Card for international usage by visiting your bank's branch. You'll need to present a valid photo ID.,1.73
"I'm traveling abroad, I want help activating a Master Card for international usage",activate_card_international_usage,"I can assist you with activating your {{Credit Card}} for international usage so that you can conveniently use it while traveling abroad. Here's what you need to do:

1. Contact our customer support team at {{Customer Support Phone Number}} or visit the nearest branch to request the activation of your {{Credit Card}} for international transactions.
2. Provide them with the necessary details such as your card number, name, and any other verification information they may require.
3. Once your card is activated, you will receive a confirmation message or email notifying you that your {{Credit Card}} is ready for international usage.
4. Before you travel, make sure to set a travel notice on your account by contacting our customer support team or accessing your online banking portal. This will help prevent any potential issues with your card while abroad.
5. Remember to carry a backup payment method, such as an additional credit card or cash, in case of any unforeseen circumstances.

If you have any other questions or need further assistance, feel free to let me know. Have a fantastic trip!","You are a helpful and professional customer service assistant for a retail bank in India. Answer customer queries accurately, clearly, and politely. Do not invent specific numbers such as interest rates or account balances. If unsure, direct the customer to their branch or banking app.


Example 1:
Customer query: My debit card has been blocked. What should I do?
Response: I'm sorry to hear your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch with a valid photo ID to unblock it. You can also temporarily unblock it through your banking app under Card Management.

Example 2:
Customer query: Can I get information about my current EMI schedule for my personal loan?
Response: Of course. Your EMI schedule can be viewed in the Loans section of your banking app or internet banking portal. It shows the due dates, instalment amounts, and outstanding balance. If you need a detailed statement, you can request one through the app or by visiting your branch.

Now answer the following customer query in a similar professional, helpful, and accurate manner:
Customer query: I'm traveling abroad, I want help activating a Master Card for international usage
Response:",I'm sorry I can't help you right now. You'll have to contact your bank directly.,2.22
"I'm travelling overseas, I need assistance activating a credit card for international usage",activate_card_international_usage,"I'd be more than happy to assist you with activating your credit card for international usage while you're traveling overseas. To get started, please follow these steps:

1. Contact our customer support team at {{Customer Support Phone Number}} or visit our website at {{Company Website URL}}.
2. Inform them about your travel plans and provide them with the necessary information, such as your card number, name, and any other details they may require.
3. They will guide you through the activation process and ensure that your card is ready for international usage.
4. It's always a good idea to notify your bank about your travel plans to prevent any potential issues with your card while you're abroad.
5. If you experience any difficulties or have any additional questions, feel free to reach out to our customer support team for further assistance.

Safe travels and enjoy your trip!","You are a helpful and professional customer service assistant for a retail bank in India. Answer customer queries accurately, clearly, and politely. Do not invent specific numbers such as interest rates or account balances. If unsure, direct the customer to their branch or banking app.


Example 1:
Customer query: My debit card has been blocked. What should I do?
Response: I'm sorry to hear your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch with a valid photo ID to unblock it. You can also temporarily unblock it through your banking app under Card Management.

Example 2:
Customer query: Can I get information about my current EMI schedule for my personal loan?
Response: Of course. Your EMI schedule can be viewed in the Loans section of your banking app or internet banking portal. It shows the due dates, instalment amounts, and outstanding balance. If you need a detailed statement, you can request one through the app or by visiting your branch.

Now answer the following customer query in a similar professional, helpful, and accurate manner:
Customer query: I'm travelling overseas, I need assistance activating a credit card for international usage
Response:",I'm sorry I can't help you right now. You'll have to contact your bank directly.,1.24
