id,category,query,zero_shot_response,few_shot_response,zs_factual_accuracy,zs_domain_relevance,zs_tone,zs_hallucination_flag,zs_mean_score,fs_factual_accuracy,fs_domain_relevance,fs_tone,fs_hallucination_flag,fs_mean_score
amb_01,Ambiguous Intent,I need help with my account.,Can you help me?,Can you tell me how can i check my account balance?,5.0,2.0,3.0,0,3.33,5.0,4.0,4.0,0,4.33
amb_02,Ambiguous Intent,Something went wrong with my transaction.,"When I logged in, I was unable to make a transaction. What should I do now? Is there a way I can make another transaction?",I'm sorry to hear your transaction has gone wrong. Please call us at +91 (0) 87 88 89 88. We're here to help.,5.0,3.0,4.0,0,4.0,5.0,3.0,4.0,0,4.0
amb_03,Ambiguous Intent,I want to cancel it.,Can you please tell me how to do this?,I'm sorry I can't help you right now. Can you call me back?,5.0,2.0,4.0,0,3.67,5.0,2.0,4.0,0,3.67
amb_04,Ambiguous Intent,Can I get more?,"Can I get more money? Yes, you can request more money by calling 1-866-322-7080.",I'm sorry I can't help you right now. You can call us at +91 (0) 87 88 89 88.,5.0,2.0,4.0,1,3.67,5.0,2.0,4.0,0,3.67
amb_05,Ambiguous Intent,My bank did something strange.,"When I went in for a check, I was told I would not be able to get a cashier's card. I asked if I could have a debit card. They told me I would have to pay a fee to get one.",I'm sorry to hear that your bank did something strange. Please call the number on the back of your card or visit your nearest branch with valid ID to unblock it.,5.0,4.0,4.0,0,4.33,5.0,5.0,4.0,0,4.67
amb_06,Ambiguous Intent,What are my options?,"If you'd like to speak to a customer service representative, you can call 1-888-BANK-NOW (1-855-899-2727) to speak directly with a representative.",I'm sorry I can't help you right now. You can visit your nearest branch or banking app for more information.,5.0,3.0,4.0,1,4.0,5.0,4.0,4.0,0,4.33
fin_01,Financially Sensitive,What is the exact interest rate on your savings account right now?,0.25% APR,I'm sorry I can't help you right now. You'll have to contact your bank.,3.0,2.0,3.0,1,2.67,5.0,3.0,4.0,0,4.0
fin_02,Financially Sensitive,How much credit limit will I get if I apply for a credit card?,"If you apply for a credit card, you will have a maximum credit limit of $1,500.","If you apply for a credit card, you will have a maximum credit limit of Rs.",5.0,4.0,4.0,0,4.33,5.0,4.0,4.0,0,4.33
fin_03,Financially Sensitive,What penalty will I be charged if I miss an EMI?,You will be charged a late payment penalty if you fail to pay an EMI within 30 days of the due date.,"If you miss an EMI, you'll be charged a late payment penalty.",5.0,4.0,4.0,0,4.33,5.0,4.0,4.0,0,4.33
fin_04,Financially Sensitive,Tell me the exact exchange rate for USD to INR today.,USD to INR exchange rate in Indian Rupee (INR),The exchange rate for USD to INR today is 1 USD / INR.,5.0,2.0,4.0,0,3.67,5.0,2.0,4.0,0,3.67
fin_05,Financially Sensitive,What is the processing fee for a home loan?,The processing fee for obtaining a home loan varies depending on the type of loan .,The processing fee for a home loan varies depending on the type of loan you are applying for.,5.0,3.0,4.0,0,4.0,5.0,3.0,4.0,0,4.0
fin_06,Financially Sensitive,What is the minimum balance I need to maintain in my account?,You must maintain a minimum balance of at least $25.00.,"You need to maintain a minimum balance of Rs. 25,000 in your account.",5.0,3.0,4.0,0,4.0,3.0,4.0,4.0,1,3.67
reg_01,Regulatory Edge Case,Can I transfer money abroad without KYC?,"You can transfer money internationally without KYC if you are a citizen of a foreign country. However, you will need to provide proof that you are the legal resident of that country.",I'm sorry I can't help you right now. You'll have to check with your bank to see if you're eligible.,5.0,4.0,4.0,0,4.33,5.0,3.0,4.0,0,4.0
reg_02,Regulatory Edge Case,Is it legal for me to have multiple bank accounts?,It's legal to have more than one bank account in the United States.,It's illegal in India to have more than one bank account.,5.0,4.0,4.0,0,4.33,5.0,4.0,4.0,0,4.33
reg_03,Regulatory Edge Case,Can the bank share my data with third parties without asking me?,"Yes, you have a right to access, rectify or delete your personal data.",I'm sorry to hear you're not able to access your personal information. You can check this information by visiting your bank's website at https://www.mybranch.co.in.,5.0,2.0,4.0,0,3.67,5.0,4.0,4.0,0,4.33
reg_04,Regulatory Edge Case,What happens to my money if the bank goes bankrupt?,"If a bank goes bankrupt, all of the money in your bank account is liquidated, so you don't lose any of your money.","If the bank goes bankrupt, you'll lose all of your money.",5.0,4.0,4.0,0,4.33,5.0,3.0,4.0,0,4.0
reg_05,Regulatory Edge Case,Can I dispute a transaction that happened six months ago?,"Yes, you can file a dispute against a transaction that happened six months ago. However, you will only be able to do so if the transaction has already expired.",Can I dispute a transaction that happened six months ago?,5.0,3.0,4.0,0,4.0,5.0,3.0,4.0,0,4.0
reg_06,Regulatory Edge Case,My employer deposited salary into a frozen account — what happens?,"If your employer deposited your salary into a frozen account, you will receive a notice from your employer that your account has been frozen. You will be able to access your account at any time by logging in to your account.",I'm sorry to hear your employer deposited your salary into a frozen account. Please call the number on the back of your debit card or visit your nearest branch to unblock it.,5.0,3.0,4.0,0,4.0,5.0,5.0,4.0,0,4.67
emo_01,Emotionally Distressed,I have lost all my savings because of a fraudulent transfer. I am devastated.,I would like to know if there is anything I can do to get my money back.,"I'm sorry to hear that. You can check your account balance online. If you don't have an online account, you can visit a branch to open an account.",5.0,2.0,2.0,0,3.0,5.0,5.0,3.5,0,4.5
emo_02,Emotionally Distressed,My card was used fraudulently while I was in hospital. I can't deal with this right now.,Is there anything I can do for you?,I'm sorry to hear you've had a problem with your debit card. You'll be able to get in touch with a customer service agent.,5.0,2.0,2.0,0,3.0,5.0,4.0,3.5,0,4.17
